assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangle decomposition, 6 by 4 rectangle split into two 3 by 4 rectangles",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pnv5GPEBXXvvPO53g4RGRXp1AANmPl.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

% Draw the outer 6 by 4 rectangle
\draw[line width=1pt] (0,0) rectangle (6,4);

% Draw the vertical line splitting the rectangle into two 3 by 4 rectangles
\draw[line width=1pt] (3,0) -- (3,4);

% Label the dimensions
% Width labels on top
\path (0,4) -- (3,4) node[above, pos=0.5] {3};
\path (3,4) -- (6,4) node[above, pos=0.5] {3};

% Height labels on the sides
\path (0,0) -- (0,4) node[left, pos=0.5] {4};
\path (6,0) -- (6,4) node[right, pos=0.5] {4};

% Total width label at bottom
\path (0,0) -- (6,0) node[below, pos=0.5] {6};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangle PQRS with diagonal PR, 12 cm by 6 cm",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1H9r1Yrv8hbK5RvmluzjQPMeOZjLNT.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[scale=0.4]
% Draw the rectangle PQRS (12 cm by 6 cm)
\draw[thick] (0,0) rectangle (12,6);

% Draw the diagonal PR
\draw[thick] (0,0) -- (12,6);

% Label the vertices
\node[below left] at (0,0) {P};
\node[below right] at (12,0) {Q};
\node[above right] at (12,6) {R};
\node[above left] at (0,6) {S};

% Label the dimensions
\node[below] at (6,0) {12 cm};
\node[left] at (0,3) {6 cm};
\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,No,Yes,,No,"factor pairs of 36 using rectangles, show 1×36, 2×18, 3×12, 4×9, 6×6",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-AvvAg55kijb6vP4XGynKAkZgIQdUJa.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\gridSep{0.3in}
\begin{tikzpicture}[x=\gridSep,y=\gridSep]

% Factor pair 1×36
\begin{scope}[yshift=0cm]
\draw[line width=0.5pt] (0,0) grid[step=1] (36,1);
\draw[line width=1pt] (0,0) rectangle (36,1);
\node[above] at (18,1.2) {$1 \times 36 = 36$};
\end{scope}

% Factor pair 2×18
\begin{scope}[yshift=-2cm]
\draw[line width=0.5pt] (0,0) grid[step=1] (18,2);
\draw[line width=1pt] (0,0) rectangle (18,2);
\node[above] at (9,2.2) {$2 \times 18 = 36$};
\end{scope}

% Factor pair 3×12
\begin{scope}[yshift=-5cm]
\draw[line width=0.5pt] (0,0) grid[step=1] (12,3);
\draw[line width=1pt] (0,0) rectangle (12,3);
\node[above] at (6,3.2) {$3 \times 12 = 36$};
\end{scope}

% Factor pair 4×9
\begin{scope}[yshift=-8.5cm]
\draw[line width=0.5pt] (0,0) grid[step=1] (9,4);
\draw[line width=1pt] (0,0) rectangle (9,4);
\node[above] at (4.5,4.2) {$4 \times 9 = 36$};
\end{scope}

% Factor pair 6×6
\begin{scope}[yshift=-13cm]
\draw[line width=0.5pt] (0,0) grid[step=1] (6,6);
\draw[line width=1pt] (0,0) rectangle (6,6);
\node[above] at (3,6.2) {$6 \times 6 = 36$};
\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"circle, simple outline",circle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-hw4U9bk6ErCzhJrrDm3kFXS24rjakN.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
  \draw (0,0) circle (1);
\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,No,No,Yes,,No,"Two intersecting circles with centers A and B, both circles pass through each other's centers",circle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-63actezNuAWH461DBYA4pOo1ttJFYH.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=1in,y=1in]
\clip(-2.5,-1.5) rectangle (2.5,1.5);

% Draw first circle centered at A
\draw[line width=1pt] (-1,0) circle (2);

% Draw second circle centered at B  
\draw[line width=1pt] (1,0) circle (2);

% Mark centers A and B
\node[vertex,label=below:A] at (-1,0) {};
\node[vertex,label=below:B] at (1,0) {};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"8 pizza slices arranged in a circle, 3 slices eaten/removed",circle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-KqZftQVY4WVa2Mdo73qhXVMsfLwGbj.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.45in,y=0.45in]
% Draw the circle
\draw (0,0) circle(1.5);
\draw (0,0) node[vertex]{};

% Draw all 8 radial lines to create 8 equal slices
\foreach \x in {0,45,90,135,180,225,270,315}{
\draw (0,0)-- (\x:1.5);
}

% Fill the remaining 5 slices (pizza slices that are still there)
\fill[LBlue] (0,0)--(0:1.5) arc (0:45:1.5)--cycle;
\fill[LBlue] (0,0)--(45:1.5) arc (45:90:1.5)--cycle;
\fill[LBlue] (0,0)--(90:1.5) arc (90:135:1.5)--cycle;
\fill[LBlue] (0,0)--(180:1.5) arc (180:225:1.5)--cycle;
\fill[LBlue] (0,0)--(225:1.5) arc (225:270:1.5)--cycle;

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,,Yes,,No,No,No,,No,"3D rectangular prism figure composed of two parts: bottom part 4 × 6 × 8 units, top part 2 × 4 × 8 units, stacked vertically",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-jmEPDwfJFgzVpUcn8aWav5tDpbXXqG.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\HP/2,-\HP/2) rectangle (\HP/2,\HP/2);

\def\xchange{-2}
\def\ychange{-3}

% Bottom part: 4 × 6 × 8 units
\foreach \x in {0,...,3}{
\foreach \y in {0,...,5}{
\foreach \z in {0,...,7}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange}
}}}

% Top part: 2 × 4 × 8 units (stacked on top)
\foreach \x in {0,...,1}{
\foreach \y in {0,...,3}{
\foreach \z in {8,...,15}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange}
}}}

% Outline for the composite shape
\Outline{4}{6}{8}{\xchange}{\ychange};
\Outline{2}{4}{16}{\xchange}{\ychange};

% Add dimension labels
\node at (-1,0) [scale=0.8] {4};
\node at (-3.2,1.5) [scale=0.8] {6};
\node at (-0.5,-1.5) [scale=0.8] {8};
\node at (-1.7,2) [scale=0.8] {2};
\node at (-3.2,0.5) [scale=0.8] {4};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,No,"composite figure made of two rectangular prisms, one 6 x 2 x 3 on top of another 4 x 4 x 3",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9aHkFztY98Rl7TaSFvzTjyyVd3mrvY.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-1.5,-1.5) rectangle (1.5,1.5);

\def\xchange{-1.2}
\def\ychange{-1.8}

% Bottom rectangular prism: 4 x 4 x 3
\foreach \x in {0,1,2,3}{
  \foreach \y in {0,1,2,3}{
    \foreach \z in {0,1,2}{
      \Ucube{\x}{\y}{\z}{\xchange}{\ychange};
    }
  }
}

% Top rectangular prism: 6 x 2 x 3 (positioned on top, centered on the bottom prism)
\foreach \x in {-1,0,1,2,3,4}{
  \foreach \y in {1,2}{
    \foreach \z in {3,4,5}{
      \Ucube{\x}{\y}{\z}{\xchange}{\ychange};
    }
  }
}

% Draw outline for bottom prism
\begin{scope}[scale=.25,xshift=\xchange in ,yshift=\ychange in]
\draw[very thick,rounded corners=.1mm] (0,0,0)--(4,0,0)--(4,4,0)--(0,4,0)--cycle;
\draw[very thick,rounded corners=.1mm] (0,0,0)--(0,0,3);
\draw[very thick,rounded corners=.1mm] (4,0,0)--(4,0,3);
\draw[very thick,rounded corners=.1mm] (0,4,0)--(0,4,3);
\draw[very thick,rounded corners=.1mm] (4,4,0)--(4,4,3);
\draw[very thick,rounded corners=.1mm] (0,0,3)--(4,0,3)--(4,4,3)--(0,4,3)--cycle;
\end{scope}

% Draw outline for top prism
\begin{scope}[scale=.25,xshift=\xchange in ,yshift=\ychange in]
\draw[very thick,rounded corners=.1mm] (-1,1,3)--(5,1,3)--(5,3,3)--(-1,3,3)--cycle;
\draw[very thick,rounded corners=.1mm] (-1,1,3)--(-1,1,6);
\draw[very thick,rounded corners=.1mm] (5,1,3)--(5,1,6);
\draw[very thick,rounded corners=.1mm] (-1,3,3)--(-1,3,6);
\draw[very thick,rounded corners=.1mm] (5,3,3)--(5,3,6);
\draw[very thick,rounded corners=.1mm] (-1,1,6)--(5,1,6)--(5,3,6)--(-1,3,6)--cycle;
\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism, 3 × 3 × 5, labeled dimensions",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SC52KgvKshmaoFmcbJJyiPEgPhL9Gy.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=(-5:0.16in), y={(32:0.176in)}, z=(90:0.16in)]

\def\dimX{3} % Width
\def\dimY{3} % Depth  
\def\dimZ{5} % Height

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% Dotted edges  
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% Labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {5}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {3}
      (frontBottomRight)
   -- node[below right, pos=0.5] {3}
      (backBottomRight);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,No,"rectangular prism base only, 2 by 5 units, area = 10 square units",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-OyDFx78lwPqq7hjnYwT6YEVRpSHEwz.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in, y=0.5in]

% Draw the rectangular base (2 by 5 units)
\draw[line width=1.5pt, fill=LBlue!30] (0,0) rectangle (5,2);

% Draw grid lines to show unit squares
\foreach \x in {0,1,2,3,4,5} {
    \draw[line width=0.5pt] (\x,0) -- (\x,2);
}
\foreach \y in {0,1,2} {
    \draw[line width=0.5pt] (0,\y) -- (5,\y);
}

% Label the dimensions
\node[below] at (2.5,-0.2) {5 units};
\node[left] at (-0.2,1) {2 units};

% Label the area in the center
\node[font=\large] at (2.5,1) {Area = 10 square units};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,No,"base of rectangular prism, 3x4 rectangle highlighted",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-5Bb4DpnGCl9ErZcyYOIx0ySptVrn9M.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.5in,y=0.5in]

% Draw the 3x4 rectangular base with highlighted fill
\fill[LBlue, opacity=0.7] (0,0) rectangle (4,3);

% Draw the grid lines to show the 3x4 structure
\draw[line width=1pt, black] (0,0) grid[step=1] (4,3);

% Draw the outer border with thicker lines
\draw[line width=2pt, black] (0,0) rectangle (4,3);

% Add dimension labels
\node[below] at (2,0) {4 units};
\node[left, rotate=90] at (0,1.5) {3 units};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,rectangular prism dimensions 2 by 4 by 8 showing all faces,rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9piTTwAlk8murLQkkwvxJ0aoFcqEGC.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.20in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{8} % Length
\def\dimY{4} % Width  
\def\dimZ{2} % Height

% Define vertices
\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Draw all visible faces with different shadings
% Front face
\fill[fill=blue!10] (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw[thick] (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;

% Right face  
\fill[fill=blue!20] (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (frontTopRight) -- cycle;
\draw[thick] (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (frontTopRight) -- cycle;

% Top face
\fill[fill=blue!30] (frontTopLeft) -- (frontTopRight) -- (backTopRight) -- (backTopLeft) -- cycle;
\draw[thick] (frontTopLeft) -- (frontTopRight) -- (backTopRight) -- (backTopLeft) -- cycle;

% Back face (partially visible)
\draw[thick] (backBottomLeft) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- cycle;

% Left face (partially visible)
\draw[thick] (frontBottomLeft) -- (backBottomLeft) -- (backTopLeft) -- (frontTopLeft);

% Bottom face (partially visible)
\draw[thick] (frontBottomLeft) -- (frontBottomRight) -- (backBottomRight) -- (backBottomLeft);

% Hidden edges as dotted lines
\draw[dotted, thick] (frontBottomLeft) -- (backBottomLeft);
\draw[dotted, thick] (backBottomLeft) -- (backTopLeft);

% Dimension labels
\node[below, font=\large] at ($(frontBottomLeft)!0.5!(frontBottomRight)$) {8};
\node[right, font=\large] at ($(frontBottomRight)!0.5!(backBottomRight)$) {4};
\node[left, font=\large] at ($(frontBottomLeft)!0.5!(frontTopLeft)$) {2};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism with some cubes removed, showing internal structure",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-E0KRpx0BMYBBY0LTrwUCAWWBxzZlcM.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

% 3x3x3 rectangular prism with several cubes removed to show internal structure
\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-1.5}
\def\ychange{-1.5}

% Bottom layer - complete
\foreach \x/\y/\z in {
0/0/-2,
0/1/-2,
0/2/-2,
1/0/-2,
1/1/-2,
1/2/-2,
2/0/-2,
2/1/-2,
2/2/-2
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

% Middle layer - with some cubes removed to show interior
\foreach \x/\y/\z in {
0/0/-1,
0/1/-1,
0/2/-1,
1/0/-1,
1/2/-1,
2/0/-1,
2/1/-1,
2/2/-1
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

% Top layer - with more cubes removed
\foreach \x/\y/\z in {
0/0/0,
0/2/0,
1/0/0,
2/0/0,
2/2/0
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism, 8 by 6 by 4",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-oPYqSXgjjS7qiBzQVbJ3WUO3yMlsP7.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

% Adjust image size by changing \unitLength (everything adjusts automatically)
\def\unitLength{0.16in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{8} % Dim in the x-dir
\def\dimY{6} % Dim in the y-dir
\def\dimZ{4} % Dim in the z-dir

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {4}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {8}
      (frontBottomRight)
   -- node[below right, pos=0.5] {6}
      (backBottomRight);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,rectangular prism 3 by 2 by 2 with dimensions labeled,rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ybhpRBDx92sMiUlFi1BOztY8r9fiaV.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.2in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{3} % Length
\def\dimY{2} % Width  
\def\dimZ{2} % Height

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges (visible)
\draw[thick] (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw[thick] (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw[thick] (frontTopRight) -- (backTopRight);

% Dotted edges (hidden)
\draw[dotted, thick] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted, thick] (backBottomLeft) -- (backTopLeft);

% Dimension labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {2}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {3}
      (frontBottomRight)
   -- node[below right, pos=0.5] {2}
      (backBottomRight);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism made of unit cubes, 2 layers, 6 cubes per layer",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZhlLEm8FhL4lQOtYdnoG79Tf7tuelj.svg,"\documentclass{IM}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/3) rectangle (\QP/2,\QP/3);
\def\xchange{-1.5}
\def\ychange{-1}

% Bottom layer (6 cubes arranged in 3x2)
\foreach \x in {0,1,2}{
\foreach \y in {0,1}{
\Ucube{\x}{\y}{-1}{\xchange}{\ychange};
}}

% Top layer (6 cubes arranged in 3x2)
\foreach \x in {0,1,2}{
\foreach \y in {0,1}{
\Ucube{\x}{\y}{0}{\xchange}{\ychange};
}}

\end{tikzpicture}

\end{document}"
